1,1,4,1,con proyector
2,2,10,1,con proyector
3,3,4,2,sin proyector
4,5,16,2,con proyector
5,9,16,1,con proyector
6,13,8,2,con proyector
7,17,5,1,con proyector
8,21,24,2,con proyector
9,25,29,1,con proyector
10,29,23,1,con proyector
11,32,9,2,con proyector
12,8,4,1,con proyector
13,11,15,1,con proyector
14,14,24,2,con proyector
15,16,11,1,con proyector
16,19,7,2,con proyector
17,22,24,1,sin proyector
18,24,29,1,con proyector
19,27,10,1,con proyector
20,30,12,2,con proyector
21,6,14,1,con proyector
22,10,23,2,con proyector
23,12,29,1,con proyector
24,15,13,2,con proyector
25,18,9,1,sin proyector
26,23,6,2,con proyector
27,26,11,1,con proyector
28,28,12,1,con proyector
29,31,10,1,con proyector
30,7,6,2,con proyector
31,20,14,1,con proyector
32,0,16,2,con proyector
33,0,23,1,con proyector
34,0,12,1,con proyector
35,0,24,2,con proyector
36,0,16,1,con proyector
37,0,8,2,con proyector
38,0,6,1,con proyector
39,0,13,1,con proyector
