1,37.35741745601511;-5.939558744430542,comidas,Restaurante cafeteria Edificio Celestino Mutis,Cafeteria
2,37.354449658588806;-5.937541723251343,comidas,Restaurante cafeteria Plaza de América,Cafeteria
3,37.3575880155198;-5.939065217971802,comidas,Pizería Santa Clara,Pizería
4,37.357306592129234;-5.939440727233887,comidas,Golosinas dulces bebidas..,kiosko
5,37.355259844818015;-5.934945344924926,deportes,Gimnasio,Gimnasio
6,37.35514897774522;-5.933293104171753,deportes,Pista de atletismo y campo de rugby,Rugby
7,37.35689724713198;-5.935331583023071,deportes,pista fútbol sala,Pista
8,37.356939887340026;-5.935792922973633,deportes,pista de padel,pista
9,37.35505516701724;-5.940964221954346,deportes,Campo de fútbol 2,pista
10,37.35520014718377;-5.942080020904541,deportes,Campo de fútbol 1,pista
11,37.35578006504967;-5.940738916397095,deportes,Pabellón deportivo,pabelón
12,37.35508075177285;-5.9401702880859375,deportes,Pista cubierta de fútbol sala,pista
13,37.35432173364799;-5.93960165977478,deportes,Pista de baloncesto,pista
14,37.353059529211045;-5.9360504150390625,deportes,Pabellón polideportivo,pabellón
15,37.35494429964211;-5.938786268234253,aparcamientos,Aparcamiento 1,aparcamiento
16,37.35559244505394;-5.939279794692993,aparcamientos,Aparcamiento 2,aparcamiento
17,37.35619794426373;-5.9398698806762695,aparcamientos,Aparcamiento 3,aparcamiento
18,37.35712750396765;-5.938045978546143,aparcamientos,Aparcamiento 5,aparcamiento
19,37.356590236918954;-5.9375739097595215,aparcamientos,Aparcamiento 6,aparcamiento
20,37.35569478329155;-5.936790704727173,aparcamientos,Aparcamiento 7,aparcamiento
21,37.3550125257385;-5.9362757205963135,aparcamientos,Aparcamiento 8,aparcamiento
22,37.35447524355082;-5.93611478805542,aparcamientos,Aparcamiento 9,aparcamiento
23,37.359012172253884;-5.934494733810424,aparcamientos,Aparcamiento 10,aparcamiento
24,37.359506783240086;-5.937713384628296,aparcamientos,Aparcamiento 11,aparcamiento
25,37.35400618452846;-5.943152904510498,transportes,metro,metro
26,37.357016639653466;-5.941929817199707,transportes,tussam 38,bus
27,37.356436731341525;-5.940642356872559,transportes,M130,bus
28,37.353980599406576;-5.939505100250244,transportes,M123,bus
29,37.353946485897175;-5.939784049987793,transportes,M133,bus
30,37.357195728079596;-5.939054489135742,estudiantes,gestion,interes
